t,V
4.2526,0.08
4.2528,0.08
4.253,0.072
4.2532,0.08
4.2534,0.072
4.2536,0.08
4.2538,0.08
4.254,0.08
4.2542,0.08
4.2544,0.08
4.2546,0.08
4.2548,0.072
4.255,0.08
4.2552,0.072
4.2554,0.08
4.2556,0.072
4.2558,0.072
4.256,0.072
4.2562,0.072
4.2564,0.072
4.2566,0.072
4.2568,0.072
4.257,0.072
4.2572,0.08
4.2574,0.072
4.2576,0.072
4.2578,0.072
4.258,0.072
4.2582,0.072
4.2584,0.072
4.2586,0.072
4.2588,0.072
4.259,0.072
4.2592,0.072
4.2594,0.072
4.2596,0.072
4.2598,0.072
4.26,0.072
4.2602,0.072
4.2604,0.072
4.2606,0.064
4.2608,0.072
4.261,0.072
4.2612,0.072
4.2614,0.064
4.2616,0.072
4.2618,0.072
4.262,0.064
4.2622,0.064
4.2624,0.064
4.2626,0.064
4.2628,0.064
4.263,0.064
4.2632,0.064
4.2634,0.064
4.2636,0.064
4.2638,0.064
4.264,0.064
4.2642,0.064
4.2644,0.056
4.2646,0.064
4.2648,0.064
4.265,0.064
4.2652,0.064
4.2654,0.064
4.2656,0.056
4.2658,0.064
4.266,0.056
4.2662,0.056
4.2664,0.056
4.2666,0.056
4.2668,0.056
4.267,0.056
4.2672,0.056
4.2674,0.056
4.2676,0.056
4.2678,0.056
4.268,0.056
4.2682,0.056
4.2684,0.056
4.2686,0.056
4.2688,0.056
4.269,0.056
4.2692,0.056
4.2694,0.056
4.2696,0.056
4.2698,0.056
4.27,0.056
4.2702,0.056
4.2704,0.056
4.2706,0.056
4.2708,0.048
4.271,0.048
4.2712,0.056
4.2714,0.056
4.2716,0.048
4.2718,0.048
4.272,0.048
4.2722,0.056
4.2724,0.048
4.2726,0.048
4.2728,0.048
4.273,0.048
4.2732,0.056
4.2734,0.048
4.2736,0.048
4.2738,0.048
4.274,0.048
4.2742,0.048
4.2744,0.048
4.2746,0.048
4.2748,0.048
4.275,0.056
4.2752,0.048
4.2754,0.048
4.2756,0.048
4.2758,0.048
4.276,0.048
4.2762,0.04
4.2764,0.048
4.2766,0.048
4.2768,0.048
4.277,0.048
4.2772,0.048
4.2774,0.048
4.2776,0.048
4.2778,0.048
4.278,0.048
4.2782,0.048
4.2784,0.048
4.2786,0.048
4.2788,0.048
4.279,0.048
4.2792,0.048
4.2794,0.04
4.2796,0.048
4.2798,0.048
4.28,0.04
4.2802,0.04
4.2804,0.04
4.2806,0.048
4.2808,0.04
4.281,0.04
4.2812,0.048
4.2814,0.04
4.2816,0.048
4.2818,0.04
4.282,0.04
4.2822,0.048
4.2824,0.048
4.2826,0.04
4.2828,0.04
4.283,0.048
4.2832,0.04
4.2834,0.04
4.2836,0.04
4.2838,0.04
4.284,0.04
4.2842,0.04
4.2844,0.04
4.2846,0.04
4.2848,0.04
4.285,0.048
4.2852,0.04
4.2854,0.04
4.2856,0.04
4.2858,0.04
4.286,0.04
4.2862,0.04
4.2864,0.04
4.2866,0.04
4.2868,0.04
4.287,0.04
4.2872,0.04
4.2874,0.04
4.2876,0.04
4.2878,0.04
4.288,0.032
4.2882,0.04
4.2884,0.04
4.2886,0.04
4.2888,0.04
4.289,0.04
4.2892,0.04
4.2894,0.04
4.2896,0.04
4.2898,0.04
4.29,0.04
4.2902,0.04
4.2904,0.04
4.2906,0.032
4.2908,0.04
4.291,0.04
4.2912,0.04
4.2914,0.04
4.2916,0.032
4.2918,0.04
4.292,0.04
4.2922,0.04
4.2924,0.04
4.2926,0.04
4.2928,0.04
4.293,0.04
4.2932,0.04
4.2934,0.04
4.2936,0.04
4.2938,0.032
4.294,0.032
4.2942,0.032
4.2944,0.032
4.2946,0.032
4.2948,0.04
4.295,0.04
4.2952,0.032
4.2954,0.032
4.2956,0.032
4.2958,0.032
4.296,0.032
4.2962,0.04
4.2964,0.04
4.2966,0.04
4.2968,0.04
4.297,0.032
4.2972,0.04
4.2974,0.032
4.2976,0.032
4.2978,0.032
4.298,0.032
4.2982,0.04
4.2984,0.04
4.2986,0.04
4.2988,0.04
4.299,0.032
4.2992,0.032
4.2994,0.032
4.2996,0.032
4.2998,0.032
4.3,0.032
4.3002,0.032
4.3004,0.032
4.3006,0.032
4.3008,0.032
4.301,0.032
4.3012,0.04
4.3014,0.04
4.3016,0.04
4.3018,0.032
4.302,0.04
4.3022,0.032
4.3024,0.04
4.3026,0.04
4.3028,0.032
4.303,0.032
4.3032,0.032
4.3034,0.04
4.3036,0.032
4.3038,0.032
4.304,0.032
4.3042,0.032
4.3044,0.032
4.3046,0.032
4.3048,0.032
4.305,0.032
4.3052,0.032
4.3054,0.032
4.3056,0.032
4.3058,0.032
4.306,0.032
4.3062,0.032
4.3064,0.032
4.3066,0.032
4.3068,0.032
4.307,0.032
4.3072,0.024
4.3074,0.032
4.3076,0.032
4.3078,0.032
4.308,0.032
4.3082,0.032
4.3084,0.04
4.3086,0.032
4.3088,0.032
4.309,0.032
4.3092,0.032
4.3094,0.032
4.3096,0.032
4.3098,0.032
4.31,0.032
4.3102,0.032
4.3104,0.032
4.3106,0.032
4.3108,0.032
4.311,0.032
4.3112,0.032
4.3114,0.032
4.3116,0.032
4.3118,0.032
4.312,0.032
4.3122,0.024
4.3124,0.032
4.3126,0.032
4.3128,0.032
4.313,0.024
4.3132,0.032
4.3134,0.032
4.3136,0.032
4.3138,0.04
4.314,0.032
4.3142,0.032
4.3144,0.032
4.3146,0.032
4.3148,0.032
4.315,0.032
4.3152,0.032
4.3154,0.032
4.3156,0.024
4.3158,0.032
4.316,0.024
4.3162,0.032
4.3164,0.032
4.3166,0.024
4.3168,0.032
4.317,0.032
4.3172,0.032
4.3174,0.024
4.3176,0.032
4.3178,0.032
4.318,0.024
4.3182,0.024
4.3184,0.024
4.3186,0.024
4.3188,0.024
4.319,0.024
4.3192,0.024
4.3194,0.024
4.3196,0.024
4.3198,0.024
4.32,0.024
4.3202,0.024
4.3204,0.024
4.3206,0.024
4.3208,0.024
4.321,0.024
4.3212,0.032
4.3214,0.024
4.3216,0.024
4.3218,0.024
4.322,0.024
4.3222,0.024
4.3224,0.032
4.3226,0.024
4.3228,0.024
4.323,0.024
4.3232,0.024
4.3234,0.024
4.3236,0.024
4.3238,0.024
4.324,0.024
4.3242,0.024
4.3244,0.032
4.3246,0.024
4.3248,0.024
4.325,0.024
4.3252,0.024
4.3254,0.024
4.3256,0.024
4.3258,0.024
4.326,0.032
4.3262,0.024
4.3264,0.024
4.3266,0.024
4.3268,0.024
4.327,0.024
4.3272,0.024
4.3274,0.024
4.3276,0.024
4.3278,0.024
4.328,0.024
4.3282,0.024
4.3284,0.024
4.3286,0.024
4.3288,0.024
4.329,0.024
4.3292,0.024
4.3294,0.032
4.3296,0.024
4.3298,0.024
4.33,0.024
4.3302,0.024
4.3304,0.024
4.3306,0.024
4.3308,0.024
4.331,0.024
4.3312,0.024
4.3314,0.024
4.3316,0.024
4.3318,0.024
4.332,0.024
4.3322,0.024
4.3324,0.024
4.3326,0.024
4.3328,0.024
4.333,0.032
4.3332,0.024
4.3334,0.024
4.3336,0.024
4.3338,0.024
4.334,0.024
4.3342,0.024
4.3344,0.024
4.3346,0.024
4.3348,0.024
4.335,0.024
4.3352,0.024
4.3354,0.024
4.3356,0.024
4.3358,0.024
4.336,0.024
4.3362,0.024
4.3364,0.024
4.3366,0.024
4.3368,0.024
4.337,0.024
4.3372,0.024
4.3374,0.024
4.3376,0.024
4.3378,0.024
4.338,0.024
4.3382,0.024
4.3384,0.024
4.3386,0.016
4.3388,0.016
4.339,0.024
4.3392,0.024
4.3394,0.024
4.3396,0.024
4.3398,0.024
4.34,0.024
4.3402,0.024
4.3404,0.024
4.3406,0.016
4.3408,0.024
4.341,0.024
4.3412,0.016
4.3414,0.024
4.3416,0.024
4.3418,0.024
4.342,0.024
4.3422,0.024
4.3424,0.024
4.3426,0.024
4.3428,0.024
4.343,0.024
4.3432,0.024
4.3434,0.024
4.3436,0.024
4.3438,0.024
4.344,0.024
4.3442,0.024
4.3444,0.024
4.3446,0.016
4.3448,0.024
4.345,0.024
4.3452,0.024
4.3454,0.024
4.3456,0.016
4.3458,0.016
4.346,0.024
4.3462,0.024
4.3464,0.024
4.3466,0.024
4.3468,0.024
4.347,0.024
4.3472,0.024
4.3474,0.024
4.3476,0.024
4.3478,0.024
4.348,0.024
4.3482,0.016
4.3484,0.016
4.3486,0.024
4.3488,0.024
4.349,0.024
4.3492,0.016
4.3494,0.024
4.3496,0.024
4.3498,0.016
4.35,0.024
4.3502,0.024
4.3504,0.016
4.3506,0.024
4.3508,0.016
4.351,0.024
4.3512,0.016
4.3514,0.024
4.3516,0.024
4.3518,0.016
4.352,0.024
4.3522,0.024
4.3524,0.024
4.3526,0.016
4.3528,0.024
4.353,0.024
4.3532,0.024
4.3534,0.016
4.3536,0.016
4.3538,0.024
4.354,0.016
4.3542,0.024
4.3544,0.024
4.3546,0.024
4.3548,0.024
4.355,0.016
4.3552,0.016
4.3554,0.024
4.3556,0.016
4.3558,0.016
4.356,0.024
4.3562,0.024
4.3564,0.024
4.3566,0.016
4.3568,0.016
4.357,0.016
4.3572,0.024
4.3574,0.016
4.3576,0.024
4.3578,0.024
4.358,0.016
4.3582,0.016
4.3584,0.024
4.3586,0.024
4.3588,0.024
4.359,0.024
4.3592,0.024
4.3594,0.024
4.3596,0.016
4.3598,0.024
4.36,0.024
4.3602,0.024
4.3604,0.024
4.3606,0.016
4.3608,0.016
4.361,0.024
4.3612,0.016
4.3614,0.016
4.3616,0.016
4.3618,0.016
4.362,0.024
4.3622,0.016
4.3624,0.016
4.3626,0.024
4.3628,0.016
4.363,0.016
4.3632,0.016
4.3634,0.016
4.3636,0.016
4.3638,0.016
4.364,0.016
4.3642,0.016
4.3644,0.024
4.3646,0.024
4.3648,0.024
4.365,0.016
4.3652,0.024
4.3654,0.024
4.3656,0.016
4.3658,0.016
4.366,0.016
4.3662,0.016
4.3664,0.016
4.3666,0.016
4.3668,0.016
4.367,0.024
4.3672,0.016
4.3674,0.024
4.3676,0.016
4.3678,0.016
4.368,0.024
4.3682,0.024
4.3684,0.024
4.3686,0.024
4.3688,0.024
4.369,0.024
4.3692,0.016
4.3694,0.016
4.3696,0.016
4.3698,0.024
4.37,0.016
4.3702,0.016
4.3704,0.016
4.3706,0.024
4.3708,0.016
4.371,0.024
4.3712,0.016
4.3714,0.016
4.3716,0.016
4.3718,0.016
4.372,0.024
4.3722,0.016
4.3724,0.016
4.3726,0.024
4.3728,0.024
4.373,0.016
4.3732,0.024
4.3734,0.016
4.3736,0.016
4.3738,0.024
4.374,0.016
4.3742,0.024
4.3744,0.024
4.3746,0.024
4.3748,0.024
4.375,0.016
4.3752,0.016
4.3754,0.016
4.3756,0.024
4.3758,0.024
4.376,0.024
4.3762,0.016
4.3764,0.016
4.3766,0.016
4.3768,0.024
4.377,0.024
4.3772,0.016
4.3774,0.016
4.3776,0.016
4.3778,0.016
4.378,0.016
4.3782,0.024
4.3784,0.016
4.3786,0.016
4.3788,0.024
4.379,0.016
4.3792,0.016
4.3794,0.016
4.3796,0.016
4.3798,0.024
4.38,0.016
4.3802,0.024
4.3804,0.016
4.3806,0.016
4.3808,0.024
4.381,0.024
4.3812,0.016
4.3814,0.024
4.3816,0.016
4.3818,0.016
4.382,0.016
4.3822,0.016
4.3824,0.016
4.3826,0.016
4.3828,0.024
4.383,0.016
4.3832,0.016
4.3834,0.016
4.3836,0.016
4.3838,0.016
4.384,0.024
4.3842,0.024
4.3844,0.024
4.3846,0.016
4.3848,0.024
4.385,0.016
4.3852,0.016
4.3854,0.016
4.3856,0.024
4.3858,0.024
4.386,0.024
4.3862,0.016
4.3864,0.024
4.3866,0.024
4.3868,0.016
4.387,0.016
4.3872,0.016
4.3874,0.016
4.3876,0.016
4.3878,0.016
4.388,0.016
4.3882,0.016
4.3884,0.016
4.3886,0.016
4.3888,0.016
4.389,0.016
4.3892,0.024
4.3894,0.016
4.3896,0.024
4.3898,0.016
4.39,0.016
4.3902,0.016
4.3904,0.016
4.3906,0.016
4.3908,0.016
4.391,0.016
4.3912,0.016
4.3914,0.016
4.3916,0.016
4.3918,0.016
4.392,0.016
4.3922,0.016
4.3924,0.024
4.3926,0.016
4.3928,0.016
4.393,0.024
4.3932,0.016
4.3934,0.016
4.3936,0.016
4.3938,0.016
4.394,0.016
4.3942,0.016
4.3944,0.016
4.3946,0.024
4.3948,0.016
4.395,0.016
4.3952,0.016
4.3954,0.016
4.3956,0.016
4.3958,0.016
4.396,0.016
4.3962,0.016
4.3964,0.016
4.3966,0.016
4.3968,0.016
4.397,0.016
4.3972,0.024
4.3974,0.016
4.3976,0.016
4.3978,0.016
4.398,0.016
4.3982,0.016
4.3984,0.024
4.3986,0.016
4.3988,0.016
4.399,0.016
4.3992,0.016
4.3994,0.016
4.3996,0.016
4.3998,0.016
4.4,0.016
4.4002,0.016
4.4004,0.016
4.4006,0.016
4.4008,0.016
4.401,0.008
4.4012,0.016
4.4014,0.016
4.4016,0.016
4.4018,0.016
4.402,0.024
4.4022,0.016
4.4024,0.016
4.4026,0.016
4.4028,0.016
4.403,0.016
4.4032,0.016
4.4034,0.016
4.4036,0.016
4.4038,0.016
4.404,0.016
4.4042,0.016
4.4044,0.016
4.4046,0.016
4.4048,0.016
4.405,0.016
4.4052,0.016
4.4054,0.016
4.4056,0.016
4.4058,0.016
4.406,0.016
4.4062,0.016
4.4064,0.016
4.4066,0.016
4.4068,0.016
4.407,0.016
4.4072,0.016
4.4074,0.016
4.4076,0.016
4.4078,0.016
4.408,0.016
4.4082,0.016
4.4084,0.016
4.4086,0.024
4.4088,0.016
4.409,0.016
4.4092,0.016
4.4094,0.016
4.4096,0.016
4.4098,0.016
4.41,0.016
4.4102,0.016
4.4104,0.024
4.4106,0.016
4.4108,0.016
4.411,0.008
4.4112,0.016
4.4114,0.016
4.4116,0.016
4.4118,0.016
4.412,0.016
4.4122,0.016
4.4124,0.016
4.4126,0.016
4.4128,0.016
4.413,0.016
4.4132,0.016
4.4134,0.016
4.4136,0.016
4.4138,0.016
4.414,0.016
4.4142,0.016
4.4144,0.016
4.4146,0.016
4.4148,0.016
4.415,0.016
4.4152,0.016
4.4154,0.008
4.4156,0.016
4.4158,0.008
4.416,0.016
4.4162,0.016
4.4164,0.016
4.4166,0.016
4.4168,0.016
4.417,0.016
4.4172,0.016
4.4174,0.016
4.4176,0.016
4.4178,0.016
4.418,0.016
