t,V
0.3409,0.116
0.341,0.116
0.3411,0.116
0.3412,0.116
0.3413,0.116
0.3414,0.116
0.3415,0.116
0.3416,0.116
0.3417,0.116
0.3418,0.116
0.3419,0.116
0.342,0.12
0.3421,0.116
0.3422,0.116
0.3423,0.116
0.3424,0.116
0.3425,0.116
0.3426,0.116
0.3427,0.116
0.3428,0.116
0.3429,0.116
0.343,0.116
0.3431,0.112
0.3432,0.116
0.3433,0.116
0.3434,0.116
0.3435,0.116
0.3436,0.116
0.3437,0.116
0.3438,0.112
0.3439,0.112
0.344,0.116
0.3441,0.116
0.3442,0.112
0.3443,0.112
0.3444,0.112
0.3445,0.116
0.3446,0.116
0.3447,0.116
0.3448,0.112
0.3449,0.12
0.345,0.112
0.3451,0.116
0.3452,0.112
0.3453,0.112
0.3454,0.112
0.3455,0.112
0.3456,0.112
0.3457,0.112
0.3458,0.116
0.3459,0.116
0.346,0.112
0.3461,0.112
0.3462,0.112
0.3463,0.112
0.3464,0.112
0.3465,0.112
0.3466,0.112
0.3467,0.112
0.3468,0.112
0.3469,0.116
0.347,0.112
0.3471,0.116
0.3472,0.112
0.3473,0.112
0.3474,0.112
0.3475,0.112
0.3476,0.116
0.3477,0.112
0.3478,0.112
0.3479,0.112
0.348,0.112
0.3481,0.112
0.3482,0.112
0.3483,0.112
0.3484,0.108
0.3485,0.108
0.3486,0.112
0.3487,0.108
0.3488,0.112
0.3489,0.112
0.349,0.108
0.3491,0.108
0.3492,0.112
0.3493,0.112
0.3494,0.108
0.3495,0.108
0.3496,0.112
0.3497,0.112
0.3498,0.112
0.3499,0.108
0.35,0.108
0.3501,0.112
0.3502,0.108
0.3503,0.108
0.3504,0.112
0.3505,0.108
0.3506,0.108
0.3507,0.108
0.3508,0.108
0.3509,0.108
0.351,0.108
0.3511,0.108
0.3512,0.108
0.3513,0.108
0.3514,0.108
0.3515,0.108
0.3516,0.108
0.3517,0.108
0.3518,0.108
0.3519,0.108
0.352,0.108
0.3521,0.108
0.3522,0.108
0.3523,0.104
0.3524,0.108
0.3525,0.108
0.3526,0.108
0.3527,0.108
0.3528,0.108
0.3529,0.104
0.353,0.108
0.3531,0.108
0.3532,0.108
0.3533,0.108
0.3534,0.108
0.3535,0.108
0.3536,0.108
0.3537,0.108
0.3538,0.108
0.3539,0.108
0.354,0.108
0.3541,0.108
0.3542,0.108
0.3543,0.108
0.3544,0.108
0.3545,0.108
0.3546,0.104
0.3547,0.108
0.3548,0.108
0.3549,0.104
0.355,0.108
0.3551,0.108
0.3552,0.108
0.3553,0.104
0.3554,0.104
0.3555,0.104
0.3556,0.104
0.3557,0.104
0.3558,0.104
0.3559,0.104
0.356,0.104
0.3561,0.104
0.3562,0.104
0.3563,0.104
0.3564,0.104
0.3565,0.104
0.3566,0.104
0.3567,0.104
0.3568,0.108
0.3569,0.104
0.357,0.104
0.3571,0.104
0.3572,0.104
0.3573,0.104
0.3574,0.108
0.3575,0.104
0.3576,0.104
0.3577,0.104
0.3578,0.1
0.3579,0.104
0.358,0.108
0.3581,0.108
0.3582,0.104
0.3583,0.104
0.3584,0.1
0.3585,0.108
0.3586,0.104
0.3587,0.1
0.3588,0.104
0.3589,0.1
0.359,0.104
0.3591,0.104
0.3592,0.104
0.3593,0.104
0.3594,0.104
0.3595,0.104
0.3596,0.104
0.3597,0.104
0.3598,0.1
0.3599,0.104
0.36,0.104
0.3601,0.104
0.3602,0.1
0.3603,0.104
0.3604,0.1
0.3605,0.1
0.3606,0.1
0.3607,0.104
0.3608,0.104
0.3609,0.1
0.361,0.1
0.3611,0.1
0.3612,0.104
0.3613,0.104
0.3614,0.1
0.3615,0.1
0.3616,0.104
0.3617,0.104
0.3618,0.104
0.3619,0.1
0.362,0.1
0.3621,0.1
0.3622,0.1
0.3623,0.104
0.3624,0.1
0.3625,0.096
0.3626,0.1
0.3627,0.096
0.3628,0.1
0.3629,0.1
0.363,0.1
0.3631,0.1
0.3632,0.1
0.3633,0.1
0.3634,0.1
0.3635,0.1
0.3636,0.1
0.3637,0.1
0.3638,0.1
0.3639,0.104
0.364,0.096
0.3641,0.1
0.3642,0.096
0.3643,0.1
0.3644,0.1
0.3645,0.1
0.3646,0.1
0.3647,0.1
0.3648,0.096
0.3649,0.1
0.365,0.1
0.3651,0.096
0.3652,0.096
0.3653,0.096
0.3654,0.096
0.3655,0.096
0.3656,0.1
0.3657,0.096
0.3658,0.096
0.3659,0.096
0.366,0.096
0.3661,0.096
0.3662,0.096
0.3663,0.096
0.3664,0.096
0.3665,0.096
0.3666,0.096
0.3667,0.096
0.3668,0.096
0.3669,0.096
0.367,0.096
0.3671,0.096
0.3672,0.096
0.3673,0.096
0.3674,0.096
0.3675,0.096
