t,V
9.9788,0.1372
9.9789,0.1396
9.979,0.1396
9.9791,0.1392
9.9792,0.1384
9.9793,0.1384
9.9794,0.1384
9.9795,0.1384
9.9796,0.1396
9.9797,0.1388
9.9798,0.138
9.9799,0.1396
9.98,0.1384
9.9801,0.1392
9.9802,0.1388
9.9803,0.1384
9.9804,0.1396
9.9805,0.1384
9.9806,0.1388
9.9807,0.1384
9.9808,0.1396
9.9809,0.1392
9.981,0.1392
9.9811,0.1388
9.9812,0.1388
9.9813,0.1396
9.9814,0.1388
9.9815,0.1396
9.9816,0.1392
9.9817,0.1392
9.9818,0.1388
9.9819,0.1392
9.982,0.1388
9.9821,0.138
9.9822,0.1392
9.9823,0.1392
9.9824,0.14
9.9825,0.1388
9.9826,0.1376
9.9827,0.1392
9.9828,0.138
9.9829,0.1396
9.983,0.1388
9.9831,0.1396
9.9832,0.1396
9.9833,0.1384
9.9834,0.1396
9.9835,0.1384
9.9836,0.1384
9.9837,0.1396
9.9838,0.1392
9.9839,0.1384
9.984,0.1388
9.9841,0.14
9.9842,0.1388
9.9843,0.14
9.9844,0.1396
9.9845,0.1392
9.9846,0.14
9.9847,0.1396
9.9848,0.1392
9.9849,0.1388
9.985,0.1392
9.9851,0.1396
9.9852,0.1396
9.9853,0.1392
9.9854,0.1396
9.9855,0.1392
9.9856,0.1392
9.9857,0.1392
9.9858,0.1384
9.9859,0.1392
9.986,0.1392
9.9861,0.1396
9.9862,0.14
9.9863,0.1396
9.9864,0.1396
9.9865,0.1392
9.9866,0.1388
9.9867,0.1392
9.9868,0.1384
9.9869,0.1396
9.987,0.1396
9.9871,0.1384
9.9872,0.1392
9.9873,0.138
9.9874,0.1388
9.9875,0.14
9.9876,0.1396
9.9877,0.1396
9.9878,0.1396
9.9879,0.1396
9.988,0.1392
9.9881,0.1392
9.9882,0.1408
9.9883,0.1396
9.9884,0.14
9.9885,0.1392
9.9886,0.1396
9.9887,0.1404
9.9888,0.1396
9.9889,0.14
9.989,0.1392
9.9891,0.1392
9.9892,0.1396
9.9893,0.14
9.9894,0.1404
9.9895,0.1396
9.9896,0.14
9.9897,0.14
9.9898,0.1392
9.9899,0.1396
9.99,0.1392
9.9901,0.1396
9.9902,0.14
9.9903,0.1408
9.9904,0.1404
9.9905,0.14
9.9906,0.1396
9.9907,0.1408
9.9908,0.1396
9.9909,0.1404
9.991,0.14
9.9911,0.14
9.9912,0.1396
9.9913,0.1396
9.9914,0.1392
9.9915,0.14
9.9916,0.1392
9.9917,0.14
9.9918,0.1396
9.9919,0.1388
9.992,0.1404
9.9921,0.14
9.9922,0.1396
9.9923,0.14
9.9924,0.1396
9.9925,0.1396
9.9926,0.14
9.9927,0.1408
9.9928,0.1396
9.9929,0.1396
9.993,0.14
9.9931,0.14
9.9932,0.1396
9.9933,0.1396
9.9934,0.1404
9.9935,0.1396
9.9936,0.1396
9.9937,0.14
9.9938,0.1408
9.9939,0.14
9.994,0.1412
9.9941,0.1404
9.9942,0.1404
9.9943,0.1392
9.9944,0.1392
9.9945,0.14
9.9946,0.1408
9.9947,0.1404
9.9948,0.14
9.9949,0.1408
9.995,0.1396
9.9951,0.1396
9.9952,0.14
9.9953,0.1408
9.9954,0.1396
9.9955,0.1388
9.9956,0.1404
9.9957,0.14
9.9958,0.1404
9.9959,0.1404
9.996,0.1408
9.9961,0.14
9.9962,0.14
9.9963,0.14
9.9964,0.1404
9.9965,0.1412
9.9966,0.1412
9.9967,0.1408
9.9968,0.14
9.9969,0.1408
9.997,0.1404
9.9971,0.1404
9.9972,0.14
9.9973,0.14
9.9974,0.14
9.9975,0.1392
9.9976,0.14
9.9977,0.14
9.9978,0.1412
9.9979,0.1404
9.998,0.1408
9.9981,0.1404
9.9982,0.14
9.9983,0.14
9.9984,0.1404
9.9985,0.14
9.9986,0.1408
9.9987,0.14
9.9988,0.1392
9.9989,0.14
9.999,0.1404
9.9991,0.1408
9.9992,0.1392
9.9993,0.1396
9.9994,0.14
9.9995,0.1392
9.9996,0.14
9.9997,0.1392
9.9998,0.1396
9.9999,0.1388
10,0.1396
10.0001,0.1404
10.0002,0.1392
10.0003,0.14
10.0004,0.14
10.0005,0.1396
10.0006,0.1404
10.0007,0.1408
10.0008,0.1408
10.0009,0.1392
10.001,0.1392
10.0011,0.1396
10.0012,0.1396
