t,V
10.0019,0.2
10.002,0.208
10.0021,0.188
10.0022,0.12
10.0023,0.12
10.0024,0.12
10.0025,0.108
10.0026,0.1
10.0027,0.088
10.0028,0.064
10.0029,0.064
10.003,0.06
10.0031,0.056
10.0032,0.048
10.0033,0.044
10.0034,0.036
10.0035,0.036
10.0036,0.032
10.0037,0.032
10.0038,0.036
10.0039,0.032
10.004,0.028
10.0041,0.028
10.0042,0.028
10.0043,0.024
10.0044,0.028
10.0045,0.024
10.0046,0.028
10.0047,0.024
10.0048,0.024
10.0049,0.024
10.005,0.024
10.0051,0.02
10.0052,0.02
10.0053,0.02
10.0054,0.02
10.0055,0.02
10.0056,0.02
10.0057,0.016
10.0058,0.02
10.0059,0.016
10.006,0.016
10.0061,0.02
10.0062,0.016
10.0063,0.016
10.0064,0.02
10.0065,0.02
10.0066,0.016
10.0067,0.016
10.0068,0.012
10.0069,0.016
10.007,0.016
10.0071,0.016
10.0072,0.016
10.0073,0.016
10.0074,0.016
10.0075,0.016
10.0076,0.016
10.0077,0.016
10.0078,0.012
10.0079,0.016
10.008,0.012
10.0081,0.016
10.0082,0.016
10.0083,0.016
10.0084,0.016
10.0085,0.012
10.0086,0.012
10.0087,0.016
10.0088,0.012
10.0089,0.016
10.009,0.012
10.0091,0.016
10.0092,0.016
10.0093,0.016
10.0094,0.012
10.0095,0.012
10.0096,0.016
10.0097,0.012
10.0098,0.012
10.0099,0.012
10.01,0.016
10.0101,0.016
10.0102,0.012
10.0103,0.012
10.0104,0.012
10.0105,0.016
10.0106,0.012
10.0107,0.012
10.0108,0.012
10.0109,0.016
10.011,0.012
10.0111,0.016
10.0112,0.012
10.0113,0.012
10.0114,0.016
10.0115,0.012
10.0116,0.012
10.0117,0.012
10.0118,0.012
10.0119,0.016
10.012,0.012
10.0121,0.012
10.0122,0.012
10.0123,0.012
10.0124,0.012
10.0125,0.016
10.0126,0.012
10.0127,0.012
10.0128,0.012
10.0129,0.012
10.013,0.012
10.0131,0.012
10.0132,0.008
10.0133,0.008
10.0134,0.016
10.0135,0.008
10.0136,0.008
10.0137,0.012
10.0138,0.012
10.0139,0.012
10.014,0.016
10.0141,0.012
10.0142,0.012
10.0143,0.012
10.0144,0.012
10.0145,0.012
10.0146,0.012
10.0147,0.012
10.0148,0.012
10.0149,0.012
10.015,0.012
10.0151,0.012
10.0152,0.012
10.0153,0.008
10.0154,0.012
10.0155,0.012
10.0156,0.012
10.0157,0.012
10.0158,0.016
10.0159,0.016
10.016,0.012
10.0161,0.012
10.0162,0.008
10.0163,0.012
10.0164,0.012
10.0165,0.008
10.0166,0.012
10.0167,0.008
10.0168,0.012
10.0169,0.012
10.017,0.008
10.0171,0.016
10.0172,0.012
10.0173,0.012
10.0174,0.012
10.0175,0.012
10.0176,0.008
10.0177,0.012
10.0178,0.012
10.0179,0.008
10.018,0.012
10.0181,0.008
10.0182,0.012
10.0183,0.012
10.0184,0.008
10.0185,0.012
10.0186,0.012
10.0187,0.012
10.0188,0.016
10.0189,0.012
10.019,0.012
10.0191,0.012
10.0192,0.008
10.0193,0.012
10.0194,0.012
10.0195,0.008
10.0196,0.012
10.0197,0.012
10.0198,0.012
10.0199,0.012
10.02,0.012
10.0201,0.008
10.0202,0.012
10.0203,0.008
10.0204,0.012
10.0205,0.012
10.0206,0.012
10.0207,0.008
10.0208,0.012
10.0209,0.012
10.021,0.008
10.0211,0.012
10.0212,0.012
10.0213,0.008
10.0214,0.012
10.0215,0.008
10.0216,0.012
10.0217,0.012
10.0218,0.008
10.0219,0.012
10.022,0.012
10.0221,0.012
10.0222,0.008
10.0223,0.012
10.0224,0.012
10.0225,0.012
10.0226,0.012
10.0227,0.012
10.0228,0.008
10.0229,0.012
10.023,0.012
10.0231,0.016
10.0232,0.012
10.0233,0.012
10.0234,0.012
10.0235,0.008
10.0236,0.012
10.0237,0.008
10.0238,0.008
10.0239,0.008
10.024,0.008
10.0241,0.008
10.0242,0.008
10.0243,0.012
10.0244,0.012
10.0245,0.012
10.0246,0.008
10.0247,0.012
10.0248,0.008
10.0249,0.008
10.025,0.008
10.0251,0.008
10.0252,0.008
10.0253,0.008
10.0254,0.008
10.0255,0.012
10.0256,0.008
10.0257,0.008
10.0258,0.012
10.0259,0.012
10.026,0.012
10.0261,0.008
10.0262,0.012
10.0263,0.008
10.0264,0.012
10.0265,0.012
10.0266,0.012
10.0267,0.012
10.0268,0.012
10.0269,0.012
10.027,0.008
10.0271,0.012
10.0272,0.008
10.0273,0.008
10.0274,0.008
10.0275,0.008
10.0276,0.012
10.0277,0.012
10.0278,0.012
10.0279,0.012
10.028,0.012
10.0281,0.008
10.0282,0.008
10.0283,0.012
10.0284,0.008
10.0285,0.012
10.0286,0.012
10.0287,0.008
10.0288,0.012
10.0289,0.008
10.029,0.012
10.0291,0.008
10.0292,0.012
10.0293,0.008
10.0294,0.012
10.0295,0.008
10.0296,0.012
10.0297,0.012
10.0298,0.008
10.0299,0.012
10.03,0.012
10.0301,0.008
10.0302,0.008
10.0303,0.012
10.0304,0.012
10.0305,0.008
10.0306,0.012
10.0307,0.008
10.0308,0.012
10.0309,0.012
10.031,0.012
10.0311,0.016
10.0312,0.012
10.0313,0.008
10.0314,0.012
10.0315,0.012
10.0316,0.008
10.0317,0.012
10.0318,0.008
10.0319,0.012
10.032,0.012
10.0321,0.012
10.0322,0.008
10.0323,0.008
10.0324,0.012
10.0325,0.008
10.0326,0.012
10.0327,0.008
10.0328,0.012
10.0329,0.012
10.033,0.008
10.0331,0.008
10.0332,0.008
10.0333,0.012
10.0334,0.012
10.0335,0.012
10.0336,0.012
10.0337,0.012
10.0338,0.012
10.0339,0.012
10.034,0.008
10.0341,0.008
10.0342,0.008
10.0343,0.008
10.0344,0.008
10.0345,0.008
10.0346,0.012
10.0347,0.008
10.0348,0.008
10.0349,0.008
10.035,0.012
10.0351,0.012
10.0352,0.008
10.0353,0.012
10.0354,0.012
10.0355,0.008
10.0356,0.012
10.0357,0.012
10.0358,0.012
10.0359,0.012
10.036,0.008
10.0361,0.012
10.0362,0.012
10.0363,0.008
10.0364,0.008
10.0365,0.012
10.0366,0.012
10.0367,0.008
10.0368,0.012
10.0369,0.012
10.037,0.008
10.0371,0.008
10.0372,0.008
10.0373,0.008
10.0374,0.012
10.0375,0.012
10.0376,0.008
10.0377,0.012
10.0378,0.008
10.0379,0.012
10.038,0.008
10.0381,0.012
10.0382,0.008
10.0383,0.008
10.0384,0.008
10.0385,0.008
10.0386,0.012
10.0387,0.012
10.0388,0.008
10.0389,0.012
10.039,0.012
10.0391,0.008
10.0392,0.012
10.0393,0.008
10.0394,0.008
10.0395,0.008
10.0396,0.008
10.0397,0.012
10.0398,0.008
10.0399,0.008
10.04,0.008
10.0401,0.016
10.0402,0.012
10.0403,0.008
10.0404,0.012
10.0405,0.012
10.0406,0.012
10.0407,0.012
10.0408,0.012
10.0409,0.008
10.041,0.012
10.0411,0.012
10.0412,0.008
10.0413,0.008
10.0414,0.012
10.0415,0.012
10.0416,0.012
10.0417,0.008
10.0418,0.008
10.0419,0.012
10.042,0.012
10.0421,0.008
10.0422,0.012
10.0423,0.008
10.0424,0.008
10.0425,0.012
10.0426,0.012
10.0427,0.008
10.0428,0.008
10.0429,0.012
10.043,0.008
10.0431,0.012
10.0432,0.012
10.0433,0.012
10.0434,0.012
10.0435,0.012
10.0436,0.012
10.0437,0.016
10.0438,0.008
